midas_entity	text
command date	What about DATE?
command date	What about DATE?
command date	Let's meet on DATE to discuss your progress.
command date	What about DATE?
command device	Let me just check that on my DEVICE.
command device	Well, first let's consider your DEVICE.
command device	Could you show me how to use the DEVICE?
command device	Let's go on the DEVICE to see what's up.
command device	May I have a DEVICE, please?
command device	May I turn on the DEVICE then?
command device	Well, first let's consider your DEVICE.
command device	Hey, look at the DEVICE.
command duration	Let ’ s have you come back in a DURATION and see how you feel.
command duration	Just let me sleep 5 more DURATION.
command duration	so, shall we allow DURATION to cover the distance?
command duration	So, shall we allow DURATION to cover the distance?
command duration	Well, would you please come back DURATION later?
command duration	Then can you wait a DURATION?
command duration	Please give me a DURATION to calculate...
command duration	Let me think about it for DURATION.
command duration	Ok, let's think about it for DURATION.
command duration	Let me think about it for DURATION.
command duration	Then let's call it a DURATION, shall we?
command event	Yes, I want to know about the EVENT.
command location	What about LOCATION?
command location	Can we get any more help at the LOCATION?
command location	Let ’ s go to LOCATION.
command location	Let ’ s go to LOCATION.
command location	Please let me know when you go to LOCATION and let me be of some assistance to you.
command location	Sure, let's go to LOCATION.
command location	Um, well let's see... I'm from LOCATION originally.
command number	Give me a package of NUMBER, then.
command number	Can I have my $ NUMBER please?
command number	Then would you please make your prices CIF including NUMBER?
command number	Let me get $ NUMBER back.
command number	We need to set the table for NUMBER.
command number	All right, let's fix it at NUMBER pieces then.
command number	Let's close the deal at $ NUMBER, OK?
command number	Give me NUMBER.
command number	What about NUMBER?
command number	Let's meet half way, NUMBER, OK?
command number	Let's say NUMBER then.
command number	Oh, let's see... About NUMBER.
command organization	Let's go to ORGANIZATION and think of something to do then.
command person	Could you tell her PERSON called?
command person	Yes, please ask her to call PERSON.
command person	Let's give PERSON a call and ask her for her help right now.
command person	Let's take a look at the PERSON Project.
command person	Yes, would you please tell her PERSON called?
command person	What about PERSON?
command person	Please tell her to give PERSON a call when she gets back.
command songname	"Now let me sing "" SONGNAME "" for you."
command sport	Better start SPORT!
command sportteam	let's watch the SPORTTEAM.
command vehicle	Here, take one of these VEHICLE.
command vehicle	May I suggest a VEHICLE?
command vehicle	OK, please move your VEHICLE off to the side of the road.
command videoname	VIDEONAME?
command videoname	VIDEONAME then.
command videoname	VIDEONAME, think back.
command videoname	VIDEONAME-think back.
comment device	DEVICE are great, aren ’ t they?
comment device	DEVICE are great, aren ’ t they?
comment device	It ’ s a good idea to have a DEVICE, isn ’ t it?
comment duration	It was actually a long DURATION.
comment duration	Mmmm... DURATION does seem like a long time.
comment location	It must be strange for you to live in LOCATION.
comment number	NUMBER is pretty steep.
comment number	Considering that it's over NUMBER degrees outside, that would be weird.
comment number	NUMBER is pretty steep.
comment organization	ORGANIZATION is an incredible school.
comment person	PERSON is a good player
comment person	that's a bit high for PERSON.
comment person	That's a bit high for PERSON.
complaint device	You shouldn't have used the DEVICE.
complaint device	Oh, don't talk to me about DEVICE.
complaint device	You shouldn't have used the DEVICE.
complaint duration	You said the same thing DURATION ago.
complaint duration	You said the same thing DURATION ago.
complaint location	I told you we should have stayed in LOCATION today.
complaint location	I told you we should have stayed in LOCATION today.
complaint person	Stop preaching your dream love PERSON to me.
complaint videoname	You didn't watch VIDEONAME?
complaint videoname	Not this VIDEONAME.
complaint videoname	VIDEONAME.
dev_command device	Turn the DEVICE off.
dev_command device	Turn the DEVICE off.
dev_command device	Turn on the DEVICE?
dev_command device	Please read the instructions on the DEVICE.
dev_command device	Please use the DEVICE.
dev_command device	Go ahead and use the DEVICE, but put it on medium speed.
dev_command device	Be careful of the DEVICE.
dev_command duration	Just head straight up the street about DURATION blocks and then turn left.
dev_command location	Then, walk three blocks to LOCATION an turn right.
neg_answer date	No, it's a DATE.
neg_answer device	No, it's my DEVICE for personal use.
neg_answer device	No, the DEVICE is optional, sir.
neg_answer device	No, the DEVICE is optional, sir.
neg_answer duration	No, It's only about DURATION ' walk.
neg_answer duration	No, just a DURATION.
neg_answer duration	No, it will be another DURATION.
neg_answer duration	No, not for a DURATION.
neg_answer duration	No, it should only take you about DURATION by foot.
neg_answer duration	Not even for an DURATION?
neg_answer genre	No, I don't like GENRE because I'm cultured!
neg_answer location	No, it stopped at LOCATION.
neg_answer location	No, LOCATION isn't very mountainous.
neg_answer location	No, he's from LOCATION.
neg_answer number	No, NUMBER at least.
neg_answer number	Not until you have paid NUMBER margin.
neg_answer person	No, PERSON did.
neg_answer person	No, it's PERSON.
neg_answer position	No, the POSITION does this.
neg_answer sport	No, I don ’ t like SPORT.
neg_answer sport	No, I hate SPORT.
neg_answer sport	No, I hate SPORT.
neg_answer vehicle	No, I hate VEHICLE.
neg_answer videoname	No, it ’ s VIDEONAME.
neg_answer year	Not until the YEAR.
open_question_factual date	Um... let me double check... unfortunately, she ’ s booked solid on DATE, how does next Monday work for you?
open_question_factual date	Um... let me double check... unfortunately, she ’ s booked solid on DATE, how does next Monday work for you?
open_question_factual date	What are your hours on DATE?
open_question_factual date	What time do you open and close on DATE?
open_question_factual date	How ’ s DATE?
open_question_factual date	How ’ s DATE?
open_question_factual device	How am I supposed to log on to the DEVICE?
open_question_factual device	And where's the DEVICE?
open_question_factual device	What do I do to log on to the DEVICE?
open_question_factual device	May I ask why you're returning the DEVICE?
open_question_factual device	What do you use your DEVICE for?
open_question_factual device	How do I use the DEVICE?
open_question_factual device	How do I log on to the DEVICE?
open_question_factual device	Where is the DEVICE?
open_question_factual device	What do you use your DEVICE for?
open_question_factual device	how much does the DEVICE cost?
open_question_factual device	Then, is the DEVICE broken or...
open_question_factual device	Where is our DEVICE?
open_question_factual duration	Then, how much do you wish to be paid each DURATION?
open_question_factual duration	May I ask how much I can get every DURATION?
open_question_factual duration	Where do you see yourself DURATION from now?
open_question_factual duration	What happens if I'm not finished with them in DURATION?
open_question_factual duration	By the way, how many days do we work every DURATION?
open_question_factual duration	What have you been doing for the past DURATION?
open_question_factual duration	How much do you need to make per DURATION?
open_question_factual duration	How long will you work a DURATION?
open_question_factual duration	How much do you hope to get a DURATION here?
open_question_factual duration	What happens if I'm not finished with them in DURATION?
open_question_factual duration	How many hours a DURATION can I do?
open_question_factual duration	Where do you see yourself DURATION from now?
open_question_factual event	When do the EVENT start?
open_question_factual event	What did he do for restoring the EVENT?
open_question_factual event	What was the EVENT about?
open_question_factual event	when do the EVENT start?
open_question_factual genre	how long have you been in to GENRE, then?
open_question_factual genre	How long have you been in to GENRE, then?
open_question_factual location	Where do you live in LOCATION?
open_question_factual location	When did you come to LOCATION?
open_question_factual location	What is the whether like in LOCATION at this time of this year?
open_question_factual location	And what's LOCATION like?
open_question_factual location	Where is LOCATION?
open_question_factual location	May I ask what your job is in LOCATION?
open_question_factual location	Hey, How did you know I came from LOCATION?
open_question_factual location	How can you cash them when you arrive in the LOCATION?
open_question_factual location	How long will you be staying in LOCATION?
open_question_factual location	How long will it take to get to LOCATION.
open_question_factual location	What are they doing in LOCATION?
open_question_factual location	Where's LOCATION.
open_question_factual location	Where in LOCATION are you from?
open_question_factual location	Which way do we go for the LOCATION?
open_question_factual location	Okay, what time is my meeting in LOCATION?
open_question_factual location	How long do you plan to stay in the LOCATION?
open_question_factual location	Hey, How did you know I came from LOCATION?
open_question_factual location	When did you come to LOCATION?
open_question_factual location	Where on LOCATION?
open_question_factual location	How long are you going to stay in the LOCATION?
open_question_factual location	When do they arrive in LOCATION?
open_question_factual location	Well, how long will it take to arrive in LOCATION?
open_question_factual location	What is the purpose of your visit to the LOCATION?
open_question_factual location	And by the way, what time shall we get to LOCATION?
open_question_factual location	Which way do we go for the LOCATION?
open_question_factual location	Where in LOCATION do you live?
open_question_factual location	How long do you think it will take to get to LOCATION.
open_question_factual number	What's the NUMBER for?
open_question_factual number	So far we have $ 2,NUMBER, what else?
open_question_factual organization	When did you get your ORGANIZATION certificate?
open_question_factual organization	What's wrong with ORGANIZATION?
open_question_factual organization	When did you get your ORGANIZATION certificate?
open_question_factual organization	When did it begin to be called ORGANIZATION?
open_question_factual organization	Where are ORGANIZATION headquarters?
open_question_factual organization	What about the ORGANIZATION?
open_question_factual organization	What about the ORGANIZATION?
open_question_factual person	Where is PERSON?
open_question_factual person	Who, PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	Where's PERSON?
open_question_factual person	When are you going to tell her that PERSON doesn't exist?
open_question_factual person	Who ’ s PERSON?
open_question_factual person	So what's PERSON up to these days?
open_question_factual person	Who's PERSON?
open_question_factual person	Where is PERSON?
open_question_factual person	Oh, look, what's happened to PERSON?
open_question_factual person	What did PERSON do yesterday?
open_question_factual person	What's PERSON like, by the way?
open_question_factual sport	How are they at SPORT?
open_question_factual sport	How are they at SPORT?
open_question_factual vehicle	Here I ’ ll take VEHICLE instead, how do you refund us?
open_question_factual vehicle	Where is your VEHICLE now?
open_question_factual vehicle	What time should the VEHICLE be here to pick you up?
open_question_factual vehicle	I've thought of that, but what can I do with my VEHICLE?
open_question_factual vehicle	When shall I tell the VEHICLE to be here?
open_question_factual vehicle	What does your VEHICLE look like?
open_question_factual vehicle	How long does it take for the VEHICLE to get there?
open_question_factual vehicle	How often do you ride the VEHICLE?
open_question_factual vehicle	Where can I find the VEHICLE?
open_question_factual vehicle	Why hasn't the VEHICLE come yet?
open_question_factual vehicle	What is the make and model of your VEHICLE?
open_question_factual vehicle	And how long does the VEHICLE take?
open_question_factual videoname	Where can find the VIDEONAME?
open_question_factual videoname	How is VIDEONAME?
open_question_factual videoname	What did the VIDEONAME look like?
open_question_factual year	So when's the next YEAR?
open_question_factual year	So when's the next YEAR?
open_question_factual year	So when's the next YEAR?
open_question_opinion date	How about DATE?
open_question_opinion date	Then, what shall we do on DATE.
open_question_opinion date	How about DATE?
open_question_opinion date	What about DATE?
open_question_opinion date	How about DATE?
open_question_opinion date	What about DATE?
open_question_opinion device	How about DEVICE?
open_question_opinion device	Do you like it better here or at DEVICE?
open_question_opinion device	What made you decide to get into DEVICE?
open_question_opinion device	So, why did you leave DEVICE?
open_question_opinion device	How about a DEVICE?
open_question_opinion device	Why don ’ t you just continue going to DEVICE?
open_question_opinion device	What about your DEVICE skills?
open_question_opinion device	How do you like it here compared to DEVICE?
open_question_opinion device	Which is better, here or DEVICE?
open_question_opinion device	Well, what do you think about the development in DEVICE?
open_question_opinion device	How about the DEVICE?
open_question_opinion device	How about the DEVICE?
open_question_opinion duration	But then what would I do every DURATION?
open_question_opinion duration	Where would you like to be in DURATION?
open_question_opinion duration	What do you think of this industry's outlook in DURATION?
open_question_opinion duration	How can believe it if the same excuse was used twice within a DURATION?
open_question_opinion duration	why not go again to celebrate out DURATION-year anniversary?
open_question_opinion duration	Where would you like to be in DURATION?
open_question_opinion duration	How can believe it if the same excuse was used twice within a DURATION?
open_question_opinion event	Other than the EVENT, what else is on the list?
open_question_opinion genre	Oh, how can you be infatuated with GENRE?
open_question_opinion genre	Why don't you like GENRE?
open_question_opinion genre	Is GENRE your favorite?
open_question_opinion genre	Why the GENRE?
open_question_opinion genre	How about GENRE?
open_question_opinion location	What time should I arrive at LOCATION?
open_question_opinion location	What about in LOCATION?
open_question_opinion location	Mm, so what are you going to miss about LOCATION?
open_question_opinion location	What's special about LOCATION?
open_question_opinion location	How about LOCATION?
open_question_opinion location	How do you like LOCATION?
open_question_opinion location	Why were you in LOCATION?
open_question_opinion location	How about here in LOCATION?
open_question_opinion location	If you don't mind me asking, how did you enjoy your stay at LOCATION?
open_question_opinion location	What did you think of LOCATION?
open_question_opinion location	How do you like LOCATION?
open_question_opinion location	How about LOCATION?
open_question_opinion location	How do you like LOCATION?
open_question_opinion location	Why would you park in the LOCATION?
open_question_opinion location	Why don't you go to see the LOCATION?
open_question_opinion location	Why don't you go to see the LOCATION?
open_question_opinion location	Why did you stay an extra night in LOCATION?
open_question_opinion location	And how about LOCATION?
open_question_opinion location	What about going to LOCATION?
open_question_opinion location	How about LOCATION?
