guid	midas	entity.label	text
ae5f412086836cf0d98a36e502f4cf35852c93d4	opinion	person	PERSON may not have toured much.
dc635a8e6668aed692bd01b8ac29d8b074da768f	opinion	person	PERSON.
dcb2a58d3f169f7d61abcbc7446a4813e2b957e6	opinion	person	I guess it was PERSON.
7c3e3e56bad8312b6284f7163b3a874c6bf9ea49	opinion	location	It would be cool to listen to LOCATION to.
5d8871319e8254c5018c59d4927774e4054ccb2e	yes_no_question	year	can you imagine you would think they were used more before YEAR.
190ab24ad91d6f6fad779e8e52a09db9ccf76dce	opinion	genre	The system would be great for GENRE.
7161d77fd03ac2011c05946d4a747542e73f3187	statement	sport	In SPORT they earn their money.
e1021fb2d102a91c36c56592c736d8a464513934	statement	person	I wear the PERSON costume on a daily basis.
6b702e484cd759219cb43a34a22e1e430b1769f5	statement	person	I didn't even know PERSON was still around.
5fe6d17c4a7e63634a6097a7b7db5b06168b397b	comment	videoname	VIDEONAME!
ecb061ff1978765670eed72211883b4be35bafa0	opinion	person	PERSON is amazing.
c9dbed69aec9c4c4fb7abbec7c6c71827c8e1c53	opinion	sport	I guess I just keep it to SPORT mostly.
f700c106d293f906817b3b6d8c766ae185a0c87c	statement	location	In LOCATION.
a57b2c1b3cb4eb2928fb1c7d88a2cf5bdb790379	statement	device	ya I listen to the DEVICE sometimes.
282815746d4a403db591cb6a9d52f0ba12a9acd6	command	position	And what about our current POSITION?
39caa5295e8e5d7632b4397cd920a36d37a51f77	opinion	location	Well since it is the LOCATION.
8ce9accc7cae35eb4cd655e95802cf2bd479e1ca	opinion	organization	I think just the plan to destroy ORGANIZATION.
b098a15e45259b9481d551fc8e62514c84a99f11	statement	videoname	I used to watch VIDEONAME.
857764a19d88d73ce3c9c07ddb90dedcda3c2ca5	statement	device	I have a DEVICE as well.
7e164ed183e349106f8f85c37b7d9780acdaf4d1	neg_answer	location	Not in LOCATION.
3ef16c2f00cb0017518dd6b3da5f44a4aade690a	opinion	videoname	I like those as well and then VIDEONAME.
d94ad75676e2b9ba774232e688b2e5e0d1c969e4	statement	sport	He has been playing SPORT for years.
9d8e033180124dcf5a727f16f7429a999b933fca	opinion	organization	Not that much really just into the ORGANIZATION.
