midas_entity	text
command number	Let me get $ NUMBER back.
command number	We need to set the table for NUMBER.
command number	Let's meet half way, NUMBER, OK?
command number	Can I have my $ NUMBER please?
command number	Let's say NUMBER then.
command number	What about NUMBER?
command number	Then would you please make your prices CIF including NUMBER?
command number	Give me a package of NUMBER, then.
command number	Let's close the deal at $ NUMBER, OK?
command number	Oh, let's see... About NUMBER.
open_question_factual device	How am I supposed to log on to the DEVICE?
open_question_factual device	Then, is the DEVICE broken or...
open_question_factual device	And where's the DEVICE?
open_question_factual device	How do I log on to the DEVICE?
open_question_factual device	May I ask why you're returning the DEVICE?
open_question_factual device	What do I do to log on to the DEVICE?
open_question_factual device	Where is our DEVICE?
open_question_factual device	What do you use your DEVICE for?
open_question_factual device	How do I use the DEVICE?
open_question_factual device	how much does the DEVICE cost?
open_question_factual duration	How many hours a DURATION can I do?
open_question_factual duration	How much do you need to make per DURATION?
open_question_factual duration	How much do you hope to get a DURATION here?
open_question_factual duration	How long will you work a DURATION?
open_question_factual duration	What happens if I'm not finished with them in DURATION?
open_question_factual duration	What have you been doing for the past DURATION?
open_question_factual duration	Where do you see yourself DURATION from now?
open_question_factual duration	Where do you see yourself DURATION from now?
open_question_factual duration	By the way, how many days do we work every DURATION?
open_question_factual duration	May I ask how much I can get every DURATION?
open_question_factual location	What is the purpose of your visit to the LOCATION?
open_question_factual location	How long will it take to get to LOCATION.
open_question_factual location	What are they doing in LOCATION?
open_question_factual location	Where's LOCATION.
open_question_factual location	Where in LOCATION are you from?
open_question_factual location	What is the whether like in LOCATION at this time of this year?
open_question_factual location	Where is LOCATION?
open_question_factual location	May I ask what your job is in LOCATION?
open_question_factual location	Well, how long will it take to arrive in LOCATION?
open_question_factual location	How long will you be staying in LOCATION?
open_question_factual person	So what's PERSON up to these days?
open_question_factual person	Where is PERSON?
open_question_factual person	Where's PERSON?
open_question_factual person	Oh, look, what's happened to PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	Who ’ s PERSON?
open_question_factual person	Who, PERSON?
open_question_factual person	When are you going to tell her that PERSON doesn't exist?
open_question_factual person	Who's PERSON?
open_question_factual person	Where is PERSON?
open_question_factual vehicle	And how long does the VEHICLE take?
open_question_factual vehicle	What is the make and model of your VEHICLE?
open_question_factual vehicle	Where is your VEHICLE now?
open_question_factual vehicle	How long does it take for the VEHICLE to get there?
open_question_factual vehicle	What does your VEHICLE look like?
open_question_factual vehicle	Why hasn't the VEHICLE come yet?
open_question_factual vehicle	When shall I tell the VEHICLE to be here?
open_question_factual vehicle	Here I ’ ll take VEHICLE instead, how do you refund us?
open_question_factual vehicle	I've thought of that, but what can I do with my VEHICLE?
open_question_factual vehicle	What time should the VEHICLE be here to pick you up?
open_question_opinion device	Why don ’ t you just continue going to DEVICE?
open_question_opinion device	How about the DEVICE?
open_question_opinion device	Which is better, here or DEVICE?
open_question_opinion device	What made you decide to get into DEVICE?
open_question_opinion device	Well, what do you think about the development in DEVICE?
open_question_opinion device	What about your DEVICE skills?
open_question_opinion device	How about the DEVICE?
open_question_opinion device	Do you like it better here or at DEVICE?
open_question_opinion device	How about a DEVICE?
open_question_opinion device	How about DEVICE?
open_question_opinion location	What time should I arrive at LOCATION?
open_question_opinion location	How about LOCATION?
open_question_opinion location	What about going to LOCATION?
open_question_opinion location	What about in LOCATION?
open_question_opinion location	What's special about LOCATION?
open_question_opinion location	How do you like LOCATION?
open_question_opinion location	Why would you park in the LOCATION?
open_question_opinion location	Why don't you go to see the LOCATION?
open_question_opinion location	And how about LOCATION?
open_question_opinion location	How do you like LOCATION?
opinion date	Any day except DATE.
opinion date	DATE is perfect.
opinion date	DATE is fine.
opinion date	By the middle of DATE, I think.
opinion date	And hopefully they are going to confirm the deal on DATE, fingers crossed.
opinion date	Hopefully, we ’ ll both have relaxing DATE.
opinion date	See you on DATE, then.
opinion date	I would like to come in on DATE.
opinion date	Hmm, I guess on the DATE.
opinion date	I think that DATE would work.
opinion device	It could be the DEVICE.
opinion device	I like playing the DEVICE.
opinion device	I hope you have a good DEVICE.
opinion device	I don't want DEVICE.
opinion device	Maybe his DEVICE is out of order.
opinion device	This DEVICE is of very high quality.
opinion device	I like DEVICE.
opinion device	We should choose from the DEVICE.
opinion device	DEVICE is great!
opinion device	I'm surprised you don't use more of the features on your DEVICE.
opinion duration	I think it was about DURATION long.
opinion duration	I don't really enjoy big occasions, but I think I ’ ll come round to the idea in the end, It only happens once in a DURATION.
opinion duration	DURATION ' time will be OK.
opinion duration	DURATION.
opinion duration	Perhaps you can try the DURATION date, the latest type.
opinion duration	Working at DURATION is something I hate to do most.
opinion duration	I'm afraid it will take DURATION at most.
opinion duration	If I survive the next DURATION.
opinion duration	Well, between $ 350-400 a DURATION.
opinion duration	Perhaps you can try the DURATION date, the latest type.
opinion genre	GENRE.
opinion genre	She's very fond of GENRE?
opinion genre	GENRE.
opinion genre	I Like GENRE best.
opinion genre	Yes, GENRE is my favorite.
opinion genre	I like GENRE a lot.
opinion genre	She's very fond of GENRE.
opinion genre	GENRE doesn't have any depth for me.
opinion genre	I like GENRE.
opinion genre	I don't care for a GENRE.
opinion location	Thank you, but I'd prefer to buy a LOCATION-made set.
opinion location	I ’ m sure he will help better LOCATION.
opinion location	I think if everyone pitches in, the LOCATION will be a better place.
opinion location	I think that place is LOCATION.
opinion location	That will be a throw in for LOCATION.
