midas_entity	text
appreciation location	Wow. bigger than the  LOCATION?
appreciation person	PERSON.that's pretty cool
appreciation person	Interesting. is that what PERSON is in?
appreciation person	That is cool about PERSON.
appreciation videoname	VIDEONAME!
appreciation videoname	VIDEONAME.
appreciation videoname	Wow! have you read VIDEONAME?
appreciation videoname	VIDEONAME.
command device	talk about the DEVICE
command device	Speaking of DEVICE.
command device	Lets talk about DEVICE next.
command device	Speaking of DEVICE.
command device	Speaking of DEVICE.
command device	Lets talk about DEVICE next.
command device	let's talk about DEVICE
command device	What about the DEVICE.
command device	Imagine if they put DEVICE on the balls and we got to see the path it took.
command device	Ever think about how DEVICE work?
command device	We need DEVICE!
command device	Speaking of DEVICE.
command device	What about the DEVICE.
command device	Speaking of DEVICE.
command device	Let's talk about my favorite DEVICE lol.
command device	Speaking of DEVICE..
command event	what about the EVENT?
command event	Speaking of EVENT.
command event	Lets talk about the EVENT next.
command event	We talked about the EVENT earlier.
command event	Speaking of EVENT.
command genre	Speaking of GENRE.
command genre	Speaking of GENRE.
command genre	What about GENRE?
command genre	Talk about GENRE?
command genre	Here's a GENRE you might like.
command genre	Talking about GENRE.
command genre	Yeah I want to hear that GENRE!
command genre	Can you recommend me some GENRE?
command genre	Speaking of GENRE.
command genre	Speaking of GENRE.
command location	Lets talk about the LOCATION next.
command location	Oh about them missing to find out that the LOCATION was struct on the day?
command location	One more little bit about the LOCATION.
command location	Let's talk about LOCATION.
command location	Let's talk about the LOCATION next.
command location	Maybe we can use the guy who was able to sell the LOCATION twice!
command location	Talking about the LOCATION.
command location	Imagine if we lived on LOCATION.
command location	Imagine driving in LOCATION.
command location	Lets talk about the LOCATION next.
command location	We need to refer to him like LOCATION refers to theirs.
command number	Speaking of NUMBER.
command organization	People need to keep there personal business of ORGANIZATION.
command organization	Speaking of ORGANIZATION.
command organization	I wish people would talk more about his record at the ORGANIZATION instead of this stuff with his wife.
command organization	Speaking of ORGANIZATION.
command organization	Lets talk about ORGANIZATION next.
command organization	What about with ORGANIZATION?
command organization	Talking about ORGANIZATION.
command organization	The way the ORGANIZATION is going.
command organization	What about ORGANIZATION going down to 40%?
command organization	Speaking of ORGANIZATION.
command organization	Speaking of ORGANIZATION.
command organization	Speaking of ORGANIZATION.
command organization	lets talk about the ORGANIZATION next.
command organization	Speaking of ORGANIZATION.
command organization	What about the ORGANIZATION?
command organization	Leave it to ORGANIZATION
command organization	What about ORGANIZATION.
command organization	Some stuff Do you know what ORGANIZATION is?
command organization	Lets talk about ORGANIZATION next.
command organization	What about the ORGANIZATION?
command organization	What about ORGANIZATION.
command organization	speaking of ORGANIZATION.
command organization	ok... what about ORGANIZATION?..
command person	Yeah so enough of PERSON.
command person	Imagine if we had someone like PERSON.
command person	Not PERSON?
command person	Tell me about PERSON.
command person	Speaking of PERSON.
command person	What do you know about PERSON?
command person	I'd like them to adapt some PERSON.
command person	Speaking of PERSON.
command person	I'll let PERSON decide that
command person	Speaking of PERSON.
command person	And we talked about PERSON before.
command person	What about PERSON?
command person	Speaking about PERSON.
command person	LOL for PERSON!
command person	What about PERSON.
command person	Ok and what about PERSON.?
command person	Just don't show PERSON any...
command person	We should give PERSON a nickname!
command person	Lets talk about PERSON next.
command person	Speaking of PERSON.
command person	What about PERSON?!!
command person	OR change his name to PERSON!
command person	Me either I want to know what PERSON testified about.
command person	Speaking of PERSON.
command person	ah tell me about PERSON.
command person	Lets talk about PERSON.
command person	Lets talk about PERSON next.
command person	And what about PERSON?
command person	What about PERSON?
